商品ID,商品名称,商品类别,价格,品牌,上架时间,销量,库存,商品描述,平均评分,上架月份,交互次数,购买次数,浏览次数,均用户评分,总金额,BCG类型
P022, 深度学习,图书,69,清华大学出版社,2023-07-20,445,167,人工智能入门书籍,4.7,2023-07,1,1,0.0,4.0,699.0,明星(Star)
P023, SK-II神仙水,美妆,599,SK-II,2023-09-25,234,89,经典护肤精华,4.8,2023-09,1,1,0.0,5.0,599.0,问号(Question)
P024, 太平鸟衬衫,服装,399,太平鸟,2023-10-12,556,234,时尚商务衬衫,4.4,2023-10,1,1,0.0,4.0,399.0,明星(Star)
P025, 乐高积木套装,家居,199,乐高,2023-08-10,678,456,创意拼装玩具,4.8,2023-08,2,1,1.0,3.5,1098.0,明星(Star)
P026, 小米空气净化器,电子产品,1299,小米,2023-09-15,889,167,智能空气净化器,4.5,2023-09,0,0,0.0,0.0,0.0,现金牛(Cash Cow)
P027, 三星Galaxy Watch,电子产品,1599,三星,2023-10-05,445,89,智能运动手表,4.6,2023-10,0,0,0.0,0.0,0.0,现金牛(Cash Cow)
P028, 例外连衣裙,服装,1299,例外,2023-09-20,234,89,设计师品牌连衣裙,4.7,2023-09,0,0,0.0,0.0,0.0,瘦狗(Dog)
P029, Nike篮球鞋,运动,899,耐克,2023-08-05,667,156,专业篮球运动鞋,4.5,2023-08,1,1,0.0,5.0,899.0,明星(Star)
P030, 佳能数码相机,电子产品,2999,佳能,2023-09-10,334,67,高像素数码相机,4.8,2023-09,1,0,1.0,3.0,299.0,问号(Question)
P031, 时间简史,图书,99,湖南科学技术出版社,2023-07-25,556,234,霍金经典科普著作,4.9,2023-07,1,0,1.0,3.0,59.0,明星(Star)
P032, 思想政治,图书,129,人民出版社,2023-08-30,445,345,政治理论教材,4.2,2023-08,2,1,1.0,4.0,218.0,明星(Star)
P033, 戴森吸尘器,家居,2999,戴森,2023-10-01,223,89,无线手持吸尘器,4.7,2023-10,1,0,1.0,3.0,99.0,问号(Question)
P034, Lululemon瑜伽裤,运动,399,Lululemon,2023-09-08,556,167,专业运动瑜伽服,4.6,2023-09,1,0,1.0,3.0,399.0,明星(Star)
P035, 王者荣耀皮肤,游戏,99,腾讯,2023-08-20,1234,999,热门游戏皮肤,4.5,2023-08,1,0,1.0,3.0,799.0,明星(Star)
P036, 半泽直树,图书,149,人民文学出版社,2023-09-15,334,234,日经畅销小说,4.7,2023-09,1,0,1.0,3.0,149.0,问号(Question)
P037, Under Armour运动服,运动,999,Under Armour,2023-10-03,445,156,专业运动品牌服装,4.4,2023-10,1,1,0.0,5.0,999.0,明星(Star)
P038, 飞利浦电动牙刷,家居,799,飞利浦,2023-09-22,667,234,声波震动电动牙刷,4.5,2023-09,2,1,1.0,3.5,758.0,明星(Star)
P039, iPad Air,电子产品,4999,苹果,2023-08-12,445,89,平板电脑,4.8,2023-08,0,0,0.0,0.0,0.0,现金牛(Cash Cow)
P040, 海澜之家T恤,服装,199,海澜之家,2023-10-08,889,456,舒适日常T恤,4.3,2023-10,0,0,0.0,0.0,0.0,现金牛(Cash Cow)
P041, 哈佛管理课,图书,189,中信出版社,2023-09-05,334,167,管理学习课程,4.6,2023-09,0,0,0.0,0.0,0.0,瘦狗(Dog)
P042, 联想ThinkPad,电子产品,2999,联想,2023-09-18,556,89,商务笔记本电脑,4.5,2023-09,1,1,0.0,4.0,2999.0,明星(Star)
P043, 欧普照明灯具,家居,399,欧普照明,2023-08-25,667,345,LED智能照明,4.4,2023-08,1,1,0.0,5.0,1999.0,明星(Star)
P044, PUMA运动鞋,运动,3999,PUMA,2023-10-10,334,156,专业运动跑鞋,4.6,2023-10,1,1,0.0,4.0,3999.0,问号(Question)
P045, 美的微波炉,家居,2499,美的,2023-09-12,445,234,智能微波炉,4.3,2023-09,2,2,0.0,4.5,4098.0,明星(Star)
P046, 罗技鼠标,电子产品,399,罗技,2023-08-15,667,456,无线办公鼠标,4.5,2023-08,1,1,0.0,5.0,1599.0,明星(Star)
P047, 安踏篮球鞋,运动,699,安踏,2023-09-25,556,234,国产专业篮球鞋,4.4,2023-09,1,1,0.0,4.0,3499.0,明星(Star)
P048, 格力空调,家居,4999,格力,2023-10-05,334,89,变频节能空调,4.6,2023-10,1,1,0.0,5.0,4499.0,问号(Question)
P049, 花西子口红,美妆,299,花西子,2023-08-20,445,167,国风彩妆品牌,4.7,2023-08,1,1,0.0,4.0,2999.0,明星(Star)
P050, 九阳豆浆机,家居,599,九阳,2023-09-08,667,345,家用豆浆机,4.3,2023-09,1,0,1.0,3.0,1999.0,明星(Star)
P051, 华为平板MatePad,电子产品,3999,华为,2023-09-30,445,89,高性能平板电脑,4.6,2023-09,2,2,0.0,5.0,8998.0,明星(Star)
P052, 森马牛仔裤,服装,299,森马,2023-10-12,556,234,休闲牛仔裤,4.2,2023-10,0,0,0.0,0.0,0.0,现金牛(Cash Cow)
P053, 三体,图书,59,重庆出版社,2023-07-15,667,456,刘慈欣科幻小说,4.9,2023-07,0,0,0.0,0.0,0.0,现金牛(Cash Cow)
P054, 富士相机,电子产品,3999,富士,2023-08-18,334,67,复古相机设计,4.7,2023-08,0,0,0.0,0.0,0.0,瘦狗(Dog)
P055, 特步运动鞋,运动,499,特步,2023-09-20,445,156,专业运动鞋,4.3,2023-09,0,0,0.0,0.0,0.0,现金牛(Cash Cow)
P056, 苏泊尔电饭煲,家居,899,苏泊尔,2023-10-03,556,234,智能电饭煲,4.4,2023-10,1,1,0.0,4.0,899.0,明星(Star)
P057, 索尼电视,电子产品,5999,索尼,2023-09-05,223,89,4K智能电视,4.8,2023-09,1,1,0.0,5.0,1299.0,问号(Question)
P058, 李宁运动服,运动,699,李宁,2023-08-25,667,345,国产运动品牌,4.5,2023-08,1,0,1.0,3.0,699.0,明星(Star)
P059, 小米电视,电子产品,2999,小米,2023-09-15,444,89,智能互联网电视,4.4,2023-09,1,1,0.0,5.0,999.0,问号(Question)
P060, 海尔冰箱,家居,4999,海尔,2023-10-08,333,67,变频节能冰箱,4.6,2023-10,1,1,0.0,4.0,1199.0,问号(Question)
P061, vivo X90,电子产品,3499,vivo,2023-09-20,555,89,拍照智能手机,4.5,2023-09,1,1,0.0,5.0,1799.0,明星(Star)
P062, 美的微波炉,家居,1299,美的,2023-08-10,444,156,家用微波炉,4.3,2023-08,1,1,0.0,4.0,799.0,问号(Question)
P063, 科沃斯扫地机器人,家居,1799,科沃斯,2023-09-25,333,89,智能清洁机器人,4.6,2023-09,1,1,0.0,4.0,1299.0,问号(Question)
